id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
81120,"Avenida 9 de Julio, departamento con vista a la av",439345,Marcelo,,Monserrat,-34.61155319213867,-58.38185119628906,Entire home/apt,12511,1,6,2022-07-24,1.73,1,284,6,
82623,Garden studio flat with swimming pool,449610,Antonio,,Colegiales,-34.5742,-58.45024,Entire home/apt,3445,5,42,2020-12-19,0.50,1,189,0,
239853,Beautiful Duplex Palermo Hollywood,1257968,Emmanuel,,Palermo,-34.57666,-58.43161,Entire home/apt,9409,4,179,2022-08-14,1.35,1,267,9,
83035,"Central loc. Entire apt, all incl.",426566,Egle,,Almagro,-34.62053,-58.41653,Entire home/apt,3298,5,48,2022-04-10,0.35,8,127,3,
83152,★Amigo studio with great views - 18 floor  ★,319901,Ralf,,Palermo,-34.58268,-58.42314,Entire home/apt,9409,3,104,2022-08-04,0.76,24,278,15,
83440,GREAT! Apartment Alto Palermo,384997,Santiago,,Recoleta,-34.59369,-58.41226,Entire home/apt,7527,30,5,2020-04-09,0.04,1,265,0,
243320,STUDIO PARA 4 PERS. EN PALERMO,1274087,Claudia,,Villa Crespo,-34.59819,-58.44001,Entire home/apt,3619,7,1,2018-11-17,0.02,1,348,0,
243373,Gorgeous Apartment-Best Location,1091499,Brooke,,Monserrat,-34.61123,-58.37315,Entire home/apt,8024,4,137,2022-08-28,1.04,1,34,8,
84033,Great apart with private terrace & chill out area.,458852,Maria,,Palermo,-34.58477,-58.42731,Entire home/apt,7961,2,167,2022-09-14,1.21,2,186,18,
245895,Amazing view - GREAT Studio - Balcony,530261,Luciano,,Palermo,-34.58293,-58.42498,Entire home/apt,7961,14,34,2022-07-31,0.26,27,346,2,
250327,"Modern Appt. Buenos Aires, Recoleta",1311901,Lucas,,Recoleta,-34.59067,-58.39909,Entire home/apt,5066,10,101,2022-09-04,0.76,3,67,3,
84730,"Spotless apt. in a great location, Wi-Fi, balcony!",426566,Egle,,Almagro,-34.62053,-58.41653,Entire home/apt,3441,7,74,2022-08-21,0.57,8,283,9,
85949,Modern & Luminous Apt in GreatLocation!,426566,Egle,,Almagro,-34.62053,-58.41653,Entire home/apt,3298,6,50,2022-09-10,0.37,8,357,13,
253370,Studio a una cuadra de Univ. de Palermo,1330334,Fernando,,Almagro,-34.59871,-58.41421,Entire home/apt,3040,4,95,2022-07-21,0.73,3,281,8,
87828,"habitación individual, única huésped de la casa.",480785,Isabel,,Retiro,-34.59126,-58.38108,Private room,2700,3,1,2019-08-02,0.03,2,177,0,
259745,Room @ soapmaker / best location in BA,78281,Nadia,,Almagro,-34.60355,-58.41701,Private room,2606,3,40,2022-07-31,0.31,2,183,5,
92228,Experiencia Recoleta-Buenos Aires,494027,Mirta Susana,,Recoleta,-34.58509,-58.40465,Entire home/apt,11580,20,2,2020-03-31,0.06,2,21,0,
264704,"PRIVATE BEDROOM KING BED,FOR ONE OR TWO, BATHROOM",1388769,Juan Y Josefina,,Balvanera,-34.61722,-58.40186,Private room,2316,5,47,2019-08-25,0.36,6,0,0,
93174,"B&B ""Tucuman 2430""1 room x 1 or 2p",500210,Luciano,,Balvanera,-34.60299,-58.40194,Private room,1434,2,10,2019-04-07,0.08,4,83,0,
264769,Sunrise River View 1-bedroom in Palermo,319901,Ralf,,Palermo,-34.5808,-58.42314,Entire home/apt,10030,3,55,2022-07-21,0.43,24,204,12,
266984,PALERMO.Las Canitas Spacious Studio-100MB WIFI,1400016,Laura,,Palermo,-34.57224,-58.43095,Entire home/apt,3908,7,37,2022-09-06,0.36,4,311,7,
93619,DEPARTMENT C / CABIN SECURITY,501789,Jessica Emerita,,San Cristobal,-34.62782,-58.40739,Shared room,10133,1,0,,,1,365,0,
267883,charming and fresh old style studio,1404477,Juan Martin,,Balvanera,-34.60222,-58.3942,Entire home/apt,11291,7,0,,,1,365,0,
96257,Lovely apartment in Buenos Aires,320183,Hortensia,,Retiro,-34.59805,-58.37717,Entire home/apt,7961,15,0,,,4,144,0,
96490,AMPLIA habitación individual en Buenos Aires,512049,Cristina,,Palermo,-34.58503,-58.41206,Private room,2171,14,0,,,1,356,0,
268446,PRIVATE BEDROOM  QUEEN BED plus one SINGLE BED,1388769,Juan Y Josefina,,Balvanera,-34.6177,-58.40072,Private room,1737,5,75,2019-05-19,0.57,6,0,0,
96810,Recoleta Luxury: Design and Style!,508291,Michele,,Retiro,-34.59357,-58.38703,Entire home/apt,13586,5,39,2022-07-30,0.38,1,325,4,
97043,Downtown 4 blocks away from Obelisk,514200,Ceferina De Jesus,,San Nicolas,-34.60751,-58.38793,Entire home/apt,2171,28,14,2022-08-21,0.11,2,31,5,
269115,"In the heart of Palermo, Soho Point",1409800,Mariano,,Palermo,-34.59006,-58.42609,Entire home/apt,9926,1,46,2021-12-14,0.36,55,343,1,
