id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19470104,Classic & Confort in Campo Pequeno,116687612,Joana & Diogo,Lisboa,Areeiro,38.74469,-9.14165,Entire home/apt,168,2,34,2022-08-11,0.54,5,338,4,50319/AL
19475148,Lisboa 44,7394422,Jorge,Lisboa,Arroios,38.72519,-9.13487,Entire home/apt,50,2,124,2020-07-07,1.96,2,75,0,46244/AL
19600620,"My Powderwave Ericeira ""Blue Double Bedroom""",137670991,My Powderwave,Mafra,Carvoeira,38.94851,-9.40816,Private room,17,2,9,2022-05-31,0.19,5,0,4,45209/AL
19601250,"My Powderwave Ericeira  ""Green Double Bedroom""",137670991,My Powderwave,Mafra,Carvoeira,38.94976,-9.40826,Private room,29,2,7,2022-09-07,0.19,5,3,4,45209/AL
19375924,SILVERADO APARTMENT - Praia de Areia Branca,134876998,Marta,Lourinh,Lourinh e Atalaia,39.26809,-9.3315,Entire home/apt,90,6,16,2022-08-29,0.26,2,148,3,100013/AL
19476669,Beautiful Duplex Apartment - CITY CENTRE,134569653,At Ease,Lisboa,Avenidas Novas,38.7449,-9.14891,Entire home/apt,250,1,0,,,11,86,0,
19483632,The Intendente Loft,3570032,Paulo Teixeira,Lisboa,Arroios,38.72368,-9.1345,Entire home/apt,68,2,10,2019-09-18,0.20,4,225,0,46510/AL
19376122,Excellent 2 bedrooms Apartament at Ajuda (Lisbon),119457178,Gaspar,Lisboa,Ajuda,38.70448,-9.19966,Entire home/apt,72,3,31,2022-07-18,0.49,2,265,10,51416/AL
19485703,"Holiday house, with swimming pool in Sintra",2136909,Pedro,Sintra,Colares,38.80601,-9.47216,Entire home/apt,90,2,96,2022-08-28,1.52,4,44,23,17354/AL
19601941,"Large villa with private pool, close to beach",26787576,Ralph,Sintra,Colares,38.82183,-9.46608,Entire home/apt,303,5,26,2022-09-10,0.43,2,265,8,7994/AL
19378240,Suite's Vintage,134410548,Teresa,Lisboa,Areeiro,38.73826,-9.1358,Private room,50,2,74,2022-08-15,1.19,2,195,4,52091/AL
19602081,"My Powderwave Ericeira ""Surfbuddies Twin Bedroom""",137670991,My Powderwave,Mafra,Carvoeira,38.94907,-9.40827,Private room,17,2,7,2022-09-06,0.11,5,0,4,45209/AL
19602325,"My Powderwave Ericeira ""Surfamily Room""",137670991,My Powderwave,Mafra,Carvoeira,38.94992,-9.40884,Private room,43,2,4,2021-10-28,0.08,5,9,2,45209/AL
